"('date',_'')","('close',_'005930.ks')","('high',_'005930.ks')","('low',_'005930.ks')","('open',_'005930.ks')","('volume',_'005930.ks')"
2001-01-26,2833.263671875,3189.201319095477,2826.1449189305904,3167.845060262249,91025000
2001-01-29,2861.73876953125,2918.6887947955533,2819.0262505830224,2847.501263215174,47245000
2001-01-30,2925.808837890625,2968.5213756700505,2897.3338127043417,2918.6900815940544,39350000
2001-01-31,3132.252197265625,3132.252197265625,2911.570792458274,2911.570792458274,53045000
2001-02-01,3039.708251953125,3146.489572279347,2982.7582144458065,3039.708251953125,39730000
2001-02-02,3053.9462890625,3125.133848248106,3004.114997632576,3053.9462890625,27330000
2001-02-05,2868.857421875,2989.876221308933,2840.3824102434864,2968.519962585298,47135000
2001-02-06,2854.62060546875,2861.739360095854,2783.4330591977086,2833.2643415874377,31545000
2001-02-07,2776.314208984375,2840.382998422476,2776.314208984375,2819.026735276442,23130000
2001-02-08,2890.214111328125,2890.214111328125,2769.1952938587206,2790.551555765086,34685000
2001-02-09,2897.332275390625,2918.688532948787,2833.263502716139,2875.976017832463,25230000
2001-02-12,2826.145263671875,2883.095294174079,2733.601464105793,2733.601464105793,36110000
2001-02-13,2833.263671875,2918.6887072079144,2826.1449189305904,2875.976189541457,22295000
2001-02-14,2833.263671875,2875.976189541457,2776.3136483197236,2790.551154208543,19710000
2001-02-15,2940.044921875,2996.994944574758,2918.688663362591,2989.876191737288,34930000
2001-02-16,3025.47021484375,3068.182735523897,2940.0451734834555,2954.282680376838,46375000
2001-02-19,2982.7578125,2996.995319958234,2918.6890289379476,2975.6390587708834,22880000
2001-02-20,3018.352294921875,3046.827316572081,2975.6397624465653,2982.758517859117,18175000
2001-02-21,2961.402099609375,2989.8771197979263,2947.164589515099,2961.402099609375,19500000
2001-02-22,2854.62060546875,2918.689397112687,2804.789323079021,2904.4518878584786,43605000
2001-02-23,2733.601806640625,2826.145617802938,2726.4830519358316,2790.551844278971,76855000
2001-02-26,2733.601806640625,2747.8393160502114,2690.8892784118652,2740.7205613454184,35665000
2001-02-27,2698.008056640625,2804.7893781435523,2698.008056640625,2733.601830474934,38695000
2001-02-28,2662.413818359375,2690.888832459475,2633.9388042592745,2633.9388042592745,28715000
2001-03-01,2662.413818359375,2662.413818359375,2662.413818359375,2662.413818359375,0
2001-03-02,2569.869873046875,2633.938651045273,2548.5136137140753,2633.938651045273,44500000
2001-03-05,2648.17578125,2648.17578125,2512.919491347446,2512.919491347446,24620000
2001-03-06,2705.12744140625,2740.7212235300167,2676.6524157072367,2719.364954255757,25500000
2001-03-07,2847.5009765625,2854.6197290039063,2776.3134521484376,2819.025966796875,52640000
2001-03-08,2854.62060546875,2854.62060546875,2783.4330591977086,2811.9080777061254,31360000
2001-03-09,2733.601806640625,2804.789353688558,2719.3642972310386,2804.789353688558,30800000
2001-03-12,2612.583251953125,2676.6520510473433,2598.345741043299,2633.9395183178644,38610000
